CAX-PEE002,PROBABILIDADE E ESTATÍSTICA - 66h,,,
CAX-PIM001,PESQUISA INTEGRADA EM METALURGIA - 100h,,,
CAX-PRM004,PRÁTICAS METALÚRGICAS I - 166h,,,
CAX-PRM005,PRÁTICAS METALÚRGICAS II - 200h,,,
CAX-PRS003,PROCESSOS DE SOLDAGEM I - 66h,,,
CAX-PSL001,PROCESSOS DE SOLDAGEM II - 66h,,,
CAX-PUS001,PROCESSOS DE USINAGEM I - 33h,,,
CAX-PUS002,PROCESSOS DE USINAGEM II - 66h,,,
CAX-QAA001,QUÍMICA ANALÍTICA APLICADA - 66h,,,
CAX-QGL001,QUÍMICA GERAL - 66h,,,
CAX-SHP002,SISTEMAS HIDRÁULICOS E PNEUMÁTICOS - 66h,,,
CAX-SOL002,SOLIDIFICAÇÃO - 33h,,,
CAX-TAC001,TÓPICOS AVANÇADOS EM CONFORMAÇÃO MECÂNICA - 33h,,,
CAX-TAI001,TECNOLOGIAS APLICADAS À INDÚSTRIA - 33h,,,
CAX-TAS002,TÉCNICAS AVANÇADAS DE SOLDAGEM - 66h,,,
CAX-TCU002,TÉCNICAS CAM E USINAGEM III - 66h,,,
CAX-TDM002,TERMODINÂMICA METALÚRGICA I - 66h,,,
CAX-TDS001,TRATAMENTOS DE SUPERFÍCIE - 33h,,,
CAX-TES001,TÓPICOS ESPECIAIS - 66h,,,
CAX-TMT001,TERMODINÂMICA METALÚRGICA II - 66h,,,
CAX-TTM003,TRATAMENTOS TÉRMICOS E METALOGRAFIA I - 100h,,,
CAX-TTM004,TRATAMENTOS TÉRMICOS E METALOGRAFIA II - 100h,,,
CAX-END002,ENSAIOS NÃO DESTRUTIVOS - 33h,,,
CAX-GPE002,GESTÃO E PLANEJAMENTO ESTRATÉGICO - 33h,,,
CAX-GTA001,GESTÃO AMBIENTAL - 33h,,,
CAX-GTQ001,GESTÃO DA QUALIDADE - 66h,,,
CAX-MFE001,MECÂNICA DA FRATURA E INTEGRIDADE ESTRUTURAL - 33h,,,
CAX-TMA002,TÓPICOS EM METAIS AVANÇADOS - 66h,,,
